Document,Primary Introducer,Status,Description,Date Introduced
LB914,Schilz,Indefinitely postponed,Change compensation for certain members of the Nebraska Power Review Board as prescribed,2016-01-12
LB915,McCollister,Indefinitely postponed,Create a veterans' treatment court pilot project,2016-01-12
LB916,Howard,Indefinitely postponed,Provide immunity from criminal or civil liability for removal of an animal from a motor vehicle by forcible entry as prescribed,2016-01-12
LB917,Krist,Withdrawn,Change provisions relating to access to records for and investigations by the Inspector General of Nebraska Child Welfare,2016-01-12
LB918,Murante,Indefinitely postponed,Provide for the redistribution of motor vehicle taxes as prescribed,2016-01-12
LB919,Williams,Passed,Change provisions relating to problem solving courts,2016-01-12
LB920,Pansing Brooks,Indefinitely postponed,Add members to the Nebraska Police Standards Advisory Council,2016-01-12
LB921,Riepe,Passed,Eliminate provisions relating to organic food,2016-01-12
LB922,Kolterman,Indefinitely postponed,Change terms of Public Employees Retirement Board members as prescribed,2016-01-12
LB923,Stinner,Indefinitely postponed,Appropriate funds for federally qualified health centers,2016-01-12
LB924,Kolterman,Passed,Provide an additional withholding procedure for certain payments under the Income Withholding for Child Support Act,2016-01-12
LB925,Harr,Indefinitely postponed,Change provisions relating to issuing a treasurer's tax deed and bringing a tax lien foreclosure action as prescribed,2016-01-12
LB926,Harr,Withdrawn,Adopt the Nebraska Rural Jobs Act and provide tax credits,2016-01-12
LB927,Hilkemann,Indefinitely postponed,Change provisions relating to surcharges for 911 service,2016-01-12
LB928,Mello,Indefinitely postponed,Change provisions relating to discriminatory wage practices based on sex,2016-01-12
LB929,Brasch,Passed,Update certain references to federal regulations regarding motor vehicles and motor carriers,2016-01-12
LB930,Scheer,Passed,Change provisions relating to statewide assessments and college admission testing as prescribed,2016-01-12
LB931,Bolz,Indefinitely postponed,Provide for financial incentives for certain assisted-living facilities and change distribution of the Behavioral Health Services Fund,2016-01-12
LB932,Crawford,Indefinitely postponed,Redefine not-for-profit organization for purposes of liability provisions,2016-01-12
LB933,Coash,Indefinitely postponed,Adopt the Payroll Processor Regulation Act,2016-01-12
LB934,Coash,Passed,"Provide a penalty for exploiting senior adults, provide for appointment, powers,and duties of guardians ad litem, and change provisions of the  Public Guardianship Act",2016-01-12
LB935,Schilz,Governor Veto,"Change provisions relating to the Nebraska Budget Act, state agency contracts, reimbursement for expenses, the Suggestion Award Board, and the Auditor of Public Accounts",2016-01-12
LR400,Fox,,"Recognize Beauchamp Alejandro and all other contributors to the ""You Look Good, You Feel Good"" event in Omaha",2016-01-12
LR401,Fox,,Congratulate the Omaha South High School Magnet School dance team on performing at the 2016 Sugar Bowl and winning the Sugar Bowl Spirit Award,2016-01-12
LR402,Johnson,,Congratulate the David City Aquinas Catholic High School football team on winning the 2015 Class C-2 state championship,2016-01-12
LR403,Hansen,Referral,Provide the Executive Board of the Legislative Council appoint the Election Technology Committee as a special committee of the Legislature,2016-01-12
LB936,Ebke,Indefinitely postponed,Change inheritance tax rates and exemption amounts,2016-01-13
LB937,Ebke,Indefinitely postponed,Eliminate a prohibition on marriage of persons with venereal disease,2016-01-13
LB938,Smith,Passed,"Adopt the 911 Service System Act, change a reporting requirement as prescribed,  and transfer funds from the Enhanced Wireless 911 Fund to the 911 Service System Fund",2016-01-13
LB939,Mello,Indefinitely postponed,Adopt the Nebraska Early Childhood Advantage Act,2016-01-13
LB940,Johnson,Indefinitely postponed,Adopt the Tax Stabilization Act,2016-01-13
LB941,Gloor,Indefinitely postponed,Update references to the Internal Revenue Code,2016-01-13
LB942,Scheer,Passed,Require disclosure of noncompete agreements by sellers of seller-assisted marketing plans and provide for reformation of a franchise agreement which unreasonably restrains competition,2016-01-13
LB943,Hansen,Indefinitely postponed,Update references with respect to husband and wife,2016-01-13
LB944,Hansen,Indefinitely postponed,Change terminology relating to parentage and marital relationships,2016-01-13
LB945,Hansen,Indefinitely postponed,Adopt the Nebraska Healthy Food Financing Initiative Act,2016-01-13
LB946,Smith,Indefinitely postponed,Change powers and duties of the chairperson of the Nebraska Motor Vehicle Industry Licensing Board,2016-01-13
LB947,Mello,Veto Overridden,State intent relating to professional or commercial licenses for certain aliens and restrict credential issuance as prescribed,2016-01-13
LB948,Morfeld,Passed,Change an application period limitation for the designation of enterprise zones as prescribed,2016-01-13
LB949,Harr,Indefinitely postponed,Change the commission allowed to cigarette stamping agents,2016-01-13
LB950,Harr,Indefinitely postponed,Allow a bad debt deduction relating to cigarette and tobacco product taxes,2016-01-13
LB951,Harr,Indefinitely postponed,Adopt the Affordable Housing Tax Credit Act,2016-01-13
LB952,Watermeier,Passed,Change membership of the Board of Emergency Medical Services,2016-01-13
LB953,Kolterman,Indefinitely postponed,Provide protection for qualified adults from financial exploitation,2016-01-13
LR404,Kintner,,Congratulate Todd Nott on winning the Hitchcock Hundred ultramarathon,2016-01-13
LB954,Krist,Passed,Change provisions relating to access to records for and investigations by the Inspector General of Nebraska Child Welfare,2016-01-14
LB955,Scheer,Indefinitely postponed,Except the University of Nebraska and the Nebraska State College System from participation in certain state contracts regarding electronic payments,2016-01-14
LB956,Speaker Hadley,Passed,Provide for deficit appropriations,2016-01-14
LB957,Speaker Hadley,Passed,"Provide, change, and eliminate fund provisions and change artwork, renovation, and replacement provisions for state buildings",2016-01-14
LB958,Gloor,Passed,Change provisions relating to property tax credits,2016-01-14
LB959,Sullivan,Passed,Change provisions relating to minimum levy adjustments and averaging adjustments under the Tax Equity and Educational Opportunities Support Act and certain school district levy and bonding authority,2016-01-14
LB960,Smith,Passed,Adopt the Transportation Innovation Act and provide transfers from the Cash Reserve Fund,2016-01-14
LB961,Chambers,Indefinitely postponed,Eliminate provisions relating to hunting mountain lions,2016-01-14
LB962,Fox,Indefinitely postponed,Change requirements for the practice of acupuncture,2016-01-14
LB963,Fox,Indefinitely postponed,Change provisions relating to area plans and budgets under the Nebraska Community Aging Services Act,2016-01-14
LB964,Hilkemann,Indefinitely postponed,Change a veteran notation requirement on a motor vehicle operator's license or state identification card,2016-01-14
LB965,Cook,Indefinitely postponed,Provide for expungement of records for persons charged with or found guilty of a crime because of stolen identity or mistaken identity,2016-01-14
LB966,Kintner,Indefinitely postponed,Adopt the Refugee Resettlement Agency Indemnification Act,2016-01-14
LB967,Kintner,Indefinitely postponed,Change learning community provisions relating to enrollment and levies,2016-01-14
LB968,Johnson,Indefinitely postponed,Change provisions relating to an agriculture promotion and development program,2016-01-14
LB969,Larson,Indefinitely postponed,"Provide and change duties for the establishment, maintenance, and operation of public libraries or reading rooms by cities or villages",2016-01-14
LB970,Larson,Indefinitely postponed,Change provisions relating to pickle cards and keno and authorize methods of payment for gambling,2016-01-14
LB971,Gloor,Indefinitely postponed,Change provisions relating to restoration of seized firearms,2016-01-14
LB972,Harr,Indefinitely postponed,Change a provision under the Employment Security Law relating to an exclusion from the definition of employment,2016-01-14
LB973,Smith,Passed,"Change penalty, permit, and notice provisions relating to electric utility lines, poles, and structures",2016-01-14
LB974,Kolowski,Indefinitely postponed,"Exempt sales of clothing, school supplies, computers, and computer-related accessories from sales and use taxes",2016-01-14
LB975,Kolterman,Indefinitely postponed,Adopt the Child Welfare Services Preservation Act,2016-01-14
LB976,Seiler,Withdrawn,Change provisions relating to jury sequestration,2016-01-14
LB977,Smith,Passed,"Provide state assistance for public transportation, ordinance and resolution powers regarding weight restrictions, Breast Cancer Awareness Plates, electronic processing of commercial drivers' licenses and permits, and operation of implements of husbandry and change specialty license plate provisions, distribution of taxes and fees, use of blue and amber lights, and motor vehicle industry provisions",2016-01-14
LB978,Craighead,Passed,Change provisions relating to the state purchasing card program and facilities construction and administration and eliminate obsolete provisions,2016-01-14
LB979,Kuehn,Indefinitely postponed,Provide for selection of interchangeable biological products by pharmacists,2016-01-14
LB980,Morfeld,Indefinitely postponed,Change penalty provisions for certain violations relating to or committed by persons experiencing or witnessing a drug overdose,2016-01-14
LB981,Business and Labor Committee,Passed,Provide for payment of claims against the state,2016-01-14
LB982,Business and Labor Committee,Indefinitely postponed,Deny payment of claims against the state,2016-01-14
LB983,Harr,Indefinitely postponed,Change the definition of disability under the Nebraska Fair Employment Practice Act,2016-01-14
LB984,Schumacher,Indefinitely postponed,Change provisions relating to mandatory minimum sentencing and sentencing of habitual criminals,2016-01-14
LB985,Schumacher,Indefinitely postponed,Provide reporting duties for regional behavioral health authorities,2016-01-14
LB986,Nebraska Retirement Systems Committee,Indefinitely postponed,Change duties of the Public Employees Retirement Board relating to an annual valuation report and experience study,2016-01-14
LB987,Morfeld,Indefinitely postponed,Create the Bioscience Steering Committee,2016-01-14
LB988,Cook,Indefinitely postponed,Change distribution provisions for the Health Care Homes for the Medically Underserved Fund,2016-01-14
LB989,Murante,Indefinitely postponed,Change provisions relating to motor vehicles,2016-01-14
LR405,Murante,,Congratulate the Gretna High School play production team for winning the 2015 Class A Production state championship,2016-01-14
LR406,Gloor,Referral,Interim study to examine issues surrounding the blending of various fuels in Nebraska and the impact of right to blend laws in other states,2016-01-14
LR407,Craighead,,Congratulate Alyssa Howell on being crowned Miss Nebraska 2015,2016-01-14
LR408,Craighead,,"Congratulate John ""Jack"" Koraleski on being named the 119th King of Aksarben",2016-01-14
LR409,Craighead,,Congratulate Molly Kroeger on being named the 119th Queen of Aksarben,2016-01-14
LR410,Craighead,,Congratulate Bruce Lauritzen on being named the 2015 Midlander of the Year by the Omaha World-Herald,2016-01-14
LR411,Coash,,Congratulate Tim Aylward on his retirement from coaching and recognize his successful career,2016-01-14
LB990,Davis,Indefinitely postponed,Adopt the Fetal Dignity Protection Act,2016-01-15
LB991,McCollister,Indefinitely postponed,Redefine crime victim,2016-01-15
LB992,Ebke,Indefinitely postponed,Provide a restriction on installment contracts for the purchase of real or personal property by political subdivisions,2016-01-15
LB993,Coash,Indefinitely postponed,Change provisions related to the Auditor of Public Accounts and require hours of work be recorded on a timesheet,2016-01-15
LB994,Davis,Indefinitely postponed,Change provisions under the Motor Vehicle Registration Act relating to financial responsibility as applied to nonresident owners,2016-01-15
LB995,Davis,Indefinitely postponed,Repeal provisions relating to the special valuation of agricultural land and provide for the agricultural value of agricultural land,2016-01-15
LB996,Friesen,Indefinitely postponed,Change provisions relating to the Motor Vehicle Industry Regulation Act,2016-01-15
LB997,Krist,Indefinitely postponed,Change provisions regarding the Nebraska Capitol Commission and office space within the State Capitol,2016-01-15
LB998,Schumacher,Indefinitely postponed,Provide for emergency community crisis centers and change provisions relating to emergency protective custody,2016-01-15
LB999,Garrett,Indefinitely postponed,Change the disposition of proceeds from the sale of surplus personal property,2016-01-15
LB1000,Mello,Passed,Require policies relating to body-worn cameras and eyewitness suspect identifications and change provisions relating to grand juries,2016-01-15
LB1001,Ebke,Indefinitely postponed,Change provisions relating to a compensation schedule for injuries resulting in disability,2016-01-15
LB1002,Baker,Passed,Permit educational service unit boards to pay membership dues to associations of school boards,2016-01-15
LB1003,Smith,Indefinitely postponed,Change the prepaid wireless surcharge determination under the Prepaid Wireless Surcharge Act,2016-01-15
LB1004,Cook,Indefinitely postponed,Change provisions relating to the Community Eligibility Provision and provide duties for the State Department of Education,2016-01-15
LB1005,Harr,Indefinitely postponed,Provide for an evidence-based drug formulary under the Nebraska Workers' Compensation Act,2016-01-15
LB1006,Coash,Indefinitely postponed,Appropriate funds for hiring forensic accountants by the Office of the Attorney General,2016-01-15
LB1007,Coash,Indefinitely postponed,Change and provide provisions relating to protection of vulnerable adults and senior adults,2016-01-15
LB1008,Coash,Indefinitely postponed,"Provide qualification requirements for guardians ad litem in guardianship, conservatorship, and other protective proceedings",2016-01-15
LB1009,Williams,Passed,"Prohibit transactions involving lookalike substances, provide and change seizure and forfeiture authority, and prohibit conduct as deceptive trade practices",2016-01-15
LB1010,Williams,Passed,Change provisions relating to juvenile court petitions,2016-01-15
LB1011,Campbell,Passed,Change provisions relating to at-risk managed care contracts as prescribed,2016-01-15
LB1012,Mello,Passed,Adopt the Property Assessed Clean Energy Act,2016-01-15
LB1013,Gloor,Indefinitely postponed,Change tax on cigarettes and other tobacco products and provide for distribution of proceeds,2016-01-15
LR412,Watermeier,Referral,Interim study to improve communication access for movie theaters in Nebraska to ensure all persons can fully experience the movie theater experience,2016-01-15
LR413,Watermeier,Referral,Create the Task Force on Behavioral and Mental Health,2016-01-15
LB1014,Stinner,Indefinitely postponed,Change provisions relating to levy limitations and budget limitations for public airports,2016-01-19
LB1015,Harr,Indefinitely postponed,Change a sales tax exemption relating to museums,2016-01-19
LB1016,Watermeier,Passed,Redefine agency under the Legislative Performance Audit Act,2016-01-19
LB1017,Lindstrom,Indefinitely postponed,Eliminate a residency requirement for student interns under a grant program and transfer funds as prescribed,2016-01-19
LB1018,Coash,Indefinitely postponed,Appropriate funds to the Nebraska Arts Council,2016-01-19
LB1019,Davis,Indefinitely postponed,"Change provisions relating to support of the Niobrara Council by the Game and Parks Commission, require legislative confirmation of certain appointments to the council, and require an annual report",2016-01-19
LB1020,Fox,Indefinitely postponed,"Provide for amendments to declarations to correct scrivener's errors, omissions, or errors in the declaration under the Nebraska Condominium Act",2016-01-19
LB1021,Crawford,Indefinitely postponed,Change provisions relating to access to sales and use tax information by municipalities,2016-01-19
LB1022,Legislative Performance Audit Committee,Passed,Change provisions relating to the office of Legislative Audit and change dates for application of tax incentives,2016-01-19
LB1023,Ebke,Indefinitely postponed,Require development of treatment protocols for and a needs assessment of committed offenders and correctional facilities,2016-01-19
LB1024,Larson,Indefinitely postponed,Change a provision of the Nebraska Political Accountability and Disclosure Act relating to an interest in a government contract,2016-01-19
LB1025,Morfeld,Indefinitely postponed,Change  experience requirements under the Public Accountancy Act,2016-01-19
LB1026,Morfeld,Indefinitely postponed,Change provisions relating to education technology,2016-01-19
LB1027,Morfeld,Indefinitely postponed,Create and provide funding for the Campus Sexual Assault Prevention Grant Program and provide duties for the Attorney General,2016-01-19
LB1028,Morfeld,Indefinitely postponed,Change provisions relating to funding under the Business Innovation Act and require the Department of Economic Development to contract with certain entities,2016-01-19
LB1029,Mello,Indefinitely postponed,Adopt the Sector Partnership Program Act and provide duties for the Department of Labor,2016-01-19
LB1030,Bolz,Indefinitely postponed,Change an expenditure limit relating to amino acid-based elemental formulas,2016-01-19
LB1031,Hansen,Indefinitely postponed,Change the levy authority of railroad transportation safety districts,2016-01-19
LB1032,McCollister,Indefinitely postponed,Adopt the Transitional Health Insurance Program Act and provide duties for the Department of Health and Human Services,2016-01-19
LB1033,Campbell,Passed,Create an advisory committee relating to persons with disabilities within the Department of Health and Human Services,2016-01-19
LB1034,Campbell,Indefinitely postponed,Change provisions relating to the Nebraska Children's Commission,2016-01-19
LB1035,Williams,Passed,Redefine farm product and change provisions relating to the central filing system and the master lien list,2016-01-19
LB1036,Campbell,Indefinitely postponed,"Change provisions of the Credit Services Organization Act, the Delayed Deposit Services Licensing Act, and the Nebraska Installment Loan Act",2016-01-19
LB1037,Brasch,Indefinitely postponed,Change property tax provisions relating to agricultural land and horticultural land,2016-01-19
LB1038,Davis,Passed,Change provisions relating to vegetation and natural resources,2016-01-19
LR414,Chambers,,Prohibit meals or beverages from being provided to legislators by lobbyists in the Capitol while the Legislature is in session,2016-01-19
LR415,Riepe,Referral,Urge the Nebraska congressional delegation to support and co-sponsor Senate Bill 1989 entitled Primary Care Enhancement Act of 2015,2016-01-19
LB1039,Coash,Passed,Define and redefine terms relating to developmental disabilities,2016-01-20
LB1040,Johnson,Indefinitely postponed,Adopt the Travel Agency Registration Act,2016-01-20
LB1041,Cook,Indefinitely postponed,Provide for disapproval of certain insurance rate filings if they use price optimization,2016-01-20
LB1042,Friesen,Indefinitely postponed,Change provisions relating to tax-increment financing,2016-01-20
LB1043,Howard,Indefinitely postponed,Create a palliative care program and advisory council for the Health Care Facility Licensure Act,2016-01-20
LB1044,Ebke,Indefinitely postponed,Terminate the Commission of Industrial Relations,2016-01-20
LB1045,Ebke,Indefinitely postponed,Provide for the treatment of certain contractors as independent contractors as prescribed,2016-01-20
LB1046,Ebke,Indefinitely postponed,Change license eligibility requirements under the Liquor Control Act,2016-01-20
LB1047,Harr,Indefinitely postponed,Change sales tax exemption provisions relating to purchases of energy and fuel,2016-01-20
LB1048,Harr,Indefinitely postponed,Adopt the Nebraska Agriculture and Manufacturing Jobs Act and provide tax credits,2016-01-20
LB1049,Harr,Indefinitely postponed,Redefine terms to include students in virtual schools in the state aid formula,2016-01-20
LB1050,Harr,Passed,Authorize conversion of domestic partnerships and domestic limited liability partnerships into domestic limited liability companies or foreign limited liability companies,2016-01-20
LB1051,Harr,Indefinitely postponed,Redefine qualified business under the Nebraska Advantage Act,2016-01-20
LB1052,Harr,Indefinitely postponed,State intent relating to appropriations for the Nebraska Whole Child Project and change provisions relating to school funding,2016-01-20
LB1053,Harr,Indefinitely postponed,Appropriate funds to the State Department of Education,2016-01-20
LB1054,Hilkemann,Indefinitely postponed,Change provisions relating to the DNA Identification Information Act,2016-01-20
LB1055,Chambers,Indefinitely postponed,Open grand jury proceedings to the public as prescribed and change procedures in cases of death during apprehension by law enforcement officers or while in custody,2016-01-20
LB1056,Chambers,Indefinitely postponed,Adopt the Patient Choice at End of Life Act,2016-01-20
LB1057,Murante,Indefinitely postponed,Change provisions of the Nebraska Political Accountability and Disclosure Act,2016-01-20
LB1058,Crawford,Indefinitely postponed,Change provisions relating to enforcement of certain tobacco restriction provisions,2016-01-20
LB1059,Crawford,Passed,Change provisions of the Community Development Law and the Local Option Municipal Economic Development Act,2016-01-20
LB1060,Fox,Indefinitely postponed,Adopt the Pharmacy Benefit Fairness and Transparency Act and provide duties for the Director of Insurance,2016-01-20
LB1061,Kolterman,Indefinitely postponed,Adopt the Surgical Technologist Registry Act,2016-01-20
LB1062,Krist,Indefinitely postponed,Provide for waiver of a certificate to administer as prescribed,2016-01-20
LB1063,Sullivan,Indefinitely postponed,Change provisions relating to state aid to schools,2016-01-20
LB1064,Sullivan,Indefinitely postponed,Change option enrollment and student fee provisions as prescribed,2016-01-20
LB1065,Sullivan,Indefinitely postponed,Change school provisions relating to the community eligibility provision,2016-01-20
LB1066,Sullivan,Passed,Change provisions relating to education,2016-01-20
LB1067,Sullivan,Passed,Change provisions relating to learning communities and funding for education,2016-01-20
LB1068,Haar,Indefinitely postponed,Adopt the Electric Customer Protection Act and provide duties for the Public Service Commission,2016-01-20
LB1069,Haar,Indefinitely postponed,Provide duties for the state investment officer relating to investment in energy-related companies or funds,2016-01-20
LB1070,Haar,Indefinitely postponed,Change powers and duties of the Nebraska Oil and Gas Conservation Commission to require liability insurance and restrict permits as prescribed,2016-01-20
LB1071,Haar,Indefinitely postponed,Adopt the Solar Energy Economic Development Act,2016-01-20
LB1072,Haar,Indefinitely postponed,Adopt the Fair Repair Act and provide a penalty,2016-01-20
LB1073,Kolowski,Indefinitely postponed,Authorize the display of the Honor and Remember flag as prescribed,2016-01-20
LB1074,Kolowski,Indefinitely postponed,Appropriate funds to the State Department of Education,2016-01-20
LB1075,Schilz,Passed,Change provisions of the Disposition of Personal Property Landlord and Tenant Act,2016-01-20
LB1076,Schilz,Indefinitely postponed,Appropriate funds to the Game and Parks commission for law enforcement at the Lake McConaughy State Recreation Area,2016-01-20
LB1077,Pansing Brooks,Indefinitely postponed,Change provisions under the Motor Vehicle Operator's License Act relating to operator's license revocation,2016-01-20
LB1078,Pansing Brooks,Indefinitely postponed,Provide and change certain conflict of interest statement requirements under the Nebraska Political Accountability and Disclosure Act,2016-01-20
LB1079,Pansing Brooks,Indefinitely postponed,Redefine law enforcement agency and change provisions relating to law enforcement officer jurisdiction,2016-01-20
LB1080,Seiler,Passed,Change provisions relating to direct purchases and use of recyclable material by correctional industries,2016-01-20
LB1081,Campbell,Passed,Change provisions relating to eligibility for public assistance and eliminate termination dates for self-sufficiency contracts,2016-01-20
LB1082,Schilz,Passed,"Change provisions relating to the Nebraska Oil and Gas Conservation Commission and provide for a periodic well fluid analysis, report, and notice as prescribed",2016-01-20
LB1083,Williams,Passed,Adopt the Next Generation Business Growth Act and change funding for tax credits under the Community Development Assistance Act,2016-01-20
LB1084,Stinner,Indefinitely postponed,Change and provide duration requirements for certain state agency contracts,2016-01-20
LB1085,Davis,Indefinitely postponed,Change a renewable energy tax credit,2016-01-20
LB1086,Davis,Passed,Change provisions relating to student self-management of asthma or anaphylaxis,2016-01-20
LB1087,Davis,Indefinitely postponed,Change sales tax provisions relating to the definition of engaged in business in this state,2016-01-20
LB1088,Davis,Indefinitely postponed,Provide a sales and use tax exemption for nonprofit centers for independent living,2016-01-20
LB1089,Hansen,Indefinitely postponed,Change the minimum wage for persons compensated by way of gratuities,2016-01-20
LB1090,Hansen,Indefinitely postponed,Require notification of law enforcement by the Nebraska State Patrol of denials of handgun certificates as prescribed,2016-01-20
LB1091,Hilkemann,Indefinitely postponed,State intent relating to appropriations for purposes of the Site and Building Development Fund,2016-01-20
LB1092,Mello,Passed,Change provisions relating to budget request reporting requirements,2016-01-20
LB1093,Mello,Passed,"Create the Bioscience Steering Committee, redefine a term relating to an internship grant program, change the Business Innovation Act, and require reports on the Nebraska Innovation Campus",2016-01-20
LB1094,Judiciary Committee,Passed,"Change provisions relating to evidence, sentencing, certain criminal penalties, criminal mischief, assault, theft, forgery, probation, parole, and the Inspector General of the Nebraska Correctional System",2016-01-20
LB1095,Kintner,Indefinitely postponed,Require employer identification numbers and the use of the federal immigration verification system,2016-01-20
LB1096,Harr,Indefinitely postponed,Change provisions relating to amendments to declarations regarding unit boundaries under the Nebraska Condominium Act,2016-01-20
LB1097,Morfeld,Indefinitely postponed,Change provisions relating to sexual assault forensic testing,2016-01-20
LB1098,Morfeld,Passed,Increase legal services fees as prescribed,2016-01-20
LB1099,Krist,Indefinitely postponed,Change provisions relating to expense reimbursement,2016-01-20
LB1100,Schilz,Indefinitely postponed,Adopt the Petroleum Education and Marketing Act,2016-01-20
LB1101,Mello,Passed,Require the Department of Environmental Quality to examine the status of solid waste management programs,2016-01-20
LB1102,Davis,Indefinitely postponed,Authorize legislative performance audits of tax-increment financing projects,2016-01-20
LB1103,Schumacher,Indefinitely postponed,"Change provisions relating to medicaid reimbursements, provide for a lien, and change estate procedures",2016-01-20
LB1104,Larson,Indefinitely postponed,"Provide for tax incentives, intent provisions, and revenue-sharing agreements relating to Native Americans",2016-01-20
LB1105,Larson,Passed,Change and eliminate beverage regulations and licensure provisions and create the Nebraska Craft Brewery Board,2016-01-20
LB1106,Garrett,Passed,Change forfeiture provisions as prescribed,2016-01-20
LB1107,Garrett,Indefinitely postponed,Create the Nebraska Election System Initiative,2016-01-20
LB1108,Garrett,Indefinitely postponed,Require reporting to the Auditor of Public Accounts and the Legislature regarding civil forfeiture proceedings,2016-01-20
LB1109,Murante,Passed,Change public records provisions and provide for an enhanced public scrutiny process for certain University appointees,2016-01-20
LB1110,Mello,Passed,Adopt the Nebraska Workforce Innovation and Opportunity Act and the Sector Partnership Program Act,2016-01-20
LR416,Coash,,"Extend sympathy to the family of Milan ""Babe"" Knezovich",2016-01-20
LR417,Kolterman,,Congratulate Colton James Hood on achieving the rank of Eagle Scout,2016-01-20
LR418,Howard,Referral,Provide the Executive Board of the Legislative Council appoint a special committee to be known as the ACCESSNebraska Oversight Committee of the Legislature,2016-01-21
LR419,Larson,,Congratulate the Crofton High School girls' cross country team on winning the 2015 Class D state championship,2016-01-22
LR420,Larson,,Congratulate the Hartington-Newcastle High School play production team for winning the 2015 Class C-2 state championship,2016-01-22
LB505A,Krist,Passed,Appropriation Bill,2016-01-25
LR421,Kolowski,,Congratulate the Millard West High School Marching Band on their accomplishments and on being named Grand Champion at the 2015 National Funding Holiday Bowl,2016-01-25
LR422,Campbell,,Congratulate the Lincoln Electric System and all of its present and past employees and board members on its 50th anniversary of operation in Lincoln,2016-01-25
LR423,Kolterman,,Congratulate Elaine and Bud Stuhr on their 60th wedding anniversary,2016-01-26
LR424,Kolowski,,Congratulate Sean Lynch II for being chosen as a Nebraska delegate to the United States Senate Youth Program,2016-01-28
LR425,Pansing Brooks,,Congratulate Lincoln High School for receiving a 2015 NebraskARTS Award,2016-01-28
LR426,Mello,,Designate February 2016 as Career and Technical Education Month in the State of Nebraska,2016-01-28
LR427,Cook,,Congratulate Dr. Glenda Baskin Glover for her outstanding service with the Alpha Kappa Alpha Sorority,2016-02-01
LR428,Davis,,Congratulate the Hyannis Area Schools for receiving a 2015 NebraskARTS Award,2016-02-01
LR429,Cook,,Congratulate Cynthia Butler-McIntyre for her outstanding service with Delta Sigma Theta Sorority,2016-02-03
LB510A,Cook,Indefinitely postponed,Appropriation Bill,2016-02-04
LR430,Scheer,Referral,Interim study to examine whether the Nebraska Banking Act should be updated,2016-02-04
LR431,Scheer,Referral,Interim study to examine whether the Securities Act of Nebraska should be updated,2016-02-04
LR432,Kolterman,,Congratulate Isabella Graves on being elected Miss Junior National Association of the Deaf Ambassador,2016-02-04
LR433,Riepe,,Congratulate Nathan Andrew Richards on achieving the rank of Eagle Scout,2016-02-05
LB814A,Friesen,Passed,Appropriation Bill,2016-02-08
LB371A,Sullivan,Indefinitely postponed,Appropriation Bill,2016-02-10
LR434,Ebke,,Congratulate Nathaniel Stapaules on achieving the rank of Eagle Scout,2016-02-11
LR435,Kolterman,,Congratulate Ryan Kopsa on achieving the rank of Eagle Scout,2016-02-11
LR436,Krist,,Recognize March 2016 as Problem Gambling Awareness Month in Nebraska,2016-02-16
LR437,Hadley,,Congratulate the recipients of the Distinguished NEBRASKAlander Award and extend appreciation for their service to the State of Nebraska,2016-02-17
LR438,Kolowski,,Congratulate Abby Gilreath on being named Nebraska's winner of the Doodle 4 Google contest and wish her luck in the national finals,2016-02-17
LR439,Crawford,Referral,Interim study to examine the use of tax-increment financing by municipalities for residential development,2016-02-18
LR440,Garrett,,Commend Justice Antonin Gregory Scalia for his life of service,2016-02-19
LR441,Seiler,,Congratulate the students and teachers at Morton Elementary School for gaining prestigious recognition as a National Model Professional Learning Community School,2016-02-19
LR442,McCollister,,"Recognize February 21-27, 2016, as Engineers Week in Nebraska",2016-02-19
LR443,Kolowski,,Congratulate Golden Kelly for receiving a 2016 Prudential Spirit of Community Award,2016-02-22
LR444,Kolowski,,Congratulate Grace Kelly for being named a Distinguished Finalist for the 2016 Prudential Spirit of Community Award,2016-02-22
LB447A,Kolterman,Passed,Appropriation Bill,2016-02-23
LB770A,Groene,Passed,Appropriation Bill,2016-02-23
LB867A,Watermeier,Passed,Appropriation Bill,2016-02-23
LR445,Davis,,Congratulate Gideon Monette on his state wrestling championship,2016-02-23
LR446,Schnoor,,Congratulate Andrew J. Poppe on achieving the rank of Eagle Scout,2016-02-23
LR447,Ebke,,Congratulate Elliot James Erdkamp on achieving the rank of Eagle Scout,2016-02-23
LR448,Ebke,,Congratulate Broc Edward Mueller on achieving the rank of Eagle Scout,2016-02-23
LB831A,Hansen,Indefinitely postponed,Appropriation Bill,2016-02-24
LB919A,Williams,Passed,Appropriation Bill,2016-02-24
LR449,Stinner,,Congratulate Mario Ybarra on his state wrestling championship,2016-02-24
LR450,Johnson,,Congratulate the David City High School wrestling team on winning the 2016 Class C state championship,2016-02-24
LB914A,Schilz,Indefinitely postponed,Appropriation Bill,2016-02-25
LR451,Stinner,,Congratulate Quentin Munoz on achieving the rank of Eagle Scout,2016-02-25
LR452,Bolz,Referral,"Interim study to establish a study group to examine issues surrounding the need to provide financial assistance for home accessibility modifications for people with disabilities, including the elderly",2016-02-25
LR453,Stinner,,Congratulate Grady Sherrell on achieving the rank of Eagle Scout,2016-02-25
LR454,Campbell,,Congratulate My'Kah Knowlin for receiving a 2016 Prudential Spirit of Community Award,2016-02-25
LR455,Haar,Referral,Provide the Executive Board of the Legislative Council appoint a special committee to examine issues related to the impacts of climate change on the State of Nebraska,2016-02-25
