Document,Primary Introducer,Status,Description,Date Introduced
LB727,Schilz,Indefinitely postponed,Impose a tax on sales of tobacco at cigar shops,2016-01-06
LB728,Johnson,Indefinitely postponed,Authorize electronic voting devices for natural resources districts,2016-01-06
LB729,Johnson,Passed,Change provisions of the Real Property Appraiser Act,2016-01-06
LB730,Johnson,Passed,Change a security coverage provision for sellers of grain stored in a warehouse closed by the Public Service Commission,2016-01-06
LB731,Johnson,Passed,Change provisions relating to the Real Property Appraiser Act,2016-01-06
LB732,Watermeier,Indefinitely postponed,Change provisions relating to Military Honor Plates,2016-01-06
LB733,Watermeier,Indefinitely postponed,Appropriate funds to the Department of Correctional Services,2016-01-06
LB734,Watermeier,Passed,Change residency provisions relating to Nebraska National Guard members for college tuition purposes,2016-01-06
LB735,Friesen,Passed,Provide a length limit exception for an articulated bus vehicle operated by a transit authority,2016-01-06
LB736,Friesen,Passed,Change provisions relating to electric utilities and electric suppliers under the Rural Community-Based Energy Development Act,2016-01-06
LB737,Friesen,Passed,Change provisions of the Wastewater Treatment Facilities Construction Assistance Act,2016-01-06
LB738,Ebke,Indefinitely postponed,Prohibit the use of cell-site simulator technology or devices by law enforcement agencies,2016-01-06
LB739,Smith,Indefinitely postponed,Eliminate certain taxing authority of learning communities,2016-01-06
LB740,Hansen,Indefinitely postponed,Add an unfair claims settlement practice under the Unfair Insurance Claims Settlement Practices Act,2016-01-06
LB741,Hansen,Indefinitely postponed,Change electioneering provisions related to yard signs,2016-01-06
LB742,Hansen,Passed,Change county population thresholds,2016-01-06
LB743,Hansen,Indefinitely postponed,Clarify compensation for shoulder injuries under the Nebraska Workers' Compensation Act,2016-01-06
LB744,Watermeier,Passed,Provide for communication and contact agreements in private and agency adoptions,2016-01-06
LB745,McCollister,Passed,Change Game and Parks Commission fee and permit provisions,2016-01-06
LB746,Campbell,Passed,"Adopt the Nebraska Strengthening Families Act, change provisions for guardians ad litem and services for children, create the Normalcy Task Force, and eliminate a reporting requirement",2016-01-06
LB747,Kolterman,Indefinitely postponed,Amend the Nebraska Capital Expansion Act to increase the amount of funds the state investment officer may offer as deposits,2016-01-06
LB748,Lindstrom,Indefinitely postponed,Change import provisions under the Nebraska Liquor Control Act as prescribed,2016-01-06
LB749,Lindstrom,Indefinitely postponed,Change an income tax exemption relating to social security benefits,2016-01-06
LB750,Lindstrom,Passed,Prohibit discrimination and retaliation against and provide for confidentiality of the identity of persons involved in making reports under the Uniform Credentialing Act,2016-01-06
LB751,Lindstrom,Passed,Provide that payment of certain expenses is not a condition precedent to certain approvals by the Director of Banking and Finance and change certain notice provisions,2016-01-06
LB752,Crawford,Indefinitely postponed,Create the Adult Career Pathways Task Force,2016-01-06
LB753,Crawford,Passed,Extend protection under federal Uniformed Services Employment and Reemployment Rights Act to Nebraska employees serving in the National Guard of another state,2016-01-06
LB754,Crawford,Passed,Create the Commission on Military and Veteran Affairs and authorize summary discipline under the Nebraska Code of Military Justice,2016-01-06
LB755,Watermeier,Indefinitely postponed,Appropriate funds to the Board of Trustees of the Nebraska State Colleges,2016-01-06
LB756,Legislative Performance Audit Committee,Passed,Terminate the Long-Term Care Savings Plan Act,2016-01-06
LB757,Brasch,Indefinitely postponed,Change provisions relating to personal property exemptions in cases of forced sale or execution or attachment,2016-01-06
LB758,Scheer,Passed,Prohibit limited liability companies from operating as insurers,2016-01-06
LB759,Scheer,Passed,Change provisions relating to stop-payment orders,2016-01-06
LB760,Scheer,Passed,Update certain references to the federal Electronic Fund Transfer Act,2016-01-06
LB761,Scheer,Passed,Change and update certain federal references in the Consumer Rental Purchase Agreement Act,2016-01-06
LB762,Kintner,Indefinitely postponed,"Change the tax on cigars, cheroots, and stogies",2016-01-06
LB763,Garrett,Indefinitely postponed,Adopt the Nebraska is Honoring Our Military Exemption Act and provide an income tax exemption,2016-01-06
LB764,Garrett,Indefinitely postponed,Authorize summary discipline for minor offenses in the Nebraska Code of Military Justice,2016-01-06
LB765,Garrett,Indefinitely postponed,Increase original certificate of title fees for vehicles transferred to Nebraska from another state or country,2016-01-06
LB766,Garrett,Indefinitely postponed,Change eligibility provisions for waiver of tuition and fees for veterans' dependents as prescribed,2016-01-06
LB767,Garrett,Indefinitely postponed,Prohibit dismemberment abortion as prescribed and provide for civil and criminal penalties,2016-01-06
LB768,Garrett,Indefinitely postponed,Provide for Choose Life License Plates,2016-01-06
LB769,Garrett,Indefinitely postponed,Change provisions relating to firearms,2016-01-06
LB770,Groene,Passed,Change the termination date of the Nebraska Exchange Transparency Act and the terms of certain members of the Nebraska Exchange Stakeholder Commission,2016-01-06
LB771,Lindstrom,Passed,Change provisions under the Securities Act of Nebraska relating to registration by coordination and federal covered securities,2016-01-06
LB772,Schumacher,Passed,Adopt the Corporate Governance Annual Disclosure Act and change provisions relating to insurance holding companies and risk retention groups,2016-01-06
LR378CA,Kuehn,Indefinitely postponed,Constitutional amendment to guarantee the right to engage in certain farming and ranching practices,2016-01-06
LR379CA,Bloomfield,Indefinitely postponed,Constitutional amendment authorizing recall of state elective officers,2016-01-06
LR380CA,Bloomfield,Indefinitely postponed,Constitutional amendment to change the distribution of state lottery proceeds,2016-01-06
LR381,Ebke,Delivered to Governor,Resolution to ratify the Twenty-Seventh Amendment to the United States Constitution regarding compensation for members of Congress,2016-01-06
LR382,Gloor,,"Congratulate Case New Holland America, LLC in Grand Island, for fifty years of producing industry leading agricultural equipment",2016-01-06
LR383,Brasch,,Congratulate Darcey Simonsen on winning third place in the discus at the 2015 Class D Girls' state track and field championship,2016-01-06
LR384,Brasch,,Congratulate the Wisner-Pilger High School 3200 meter relay team on winning second place at the 2015 Class C Boys' state track and field championship,2016-01-06
LR385,Brasch,,Congratulate Alexander Tietz on winning second place in the 3200 meter run and third place in the 1600 meter run at the 2015 Class B state track and field championship,2016-01-06
LR386,Brasch,,Congratulate Ashleigh Carr on winning third place in both the 200 meter dash and 400 meter dash at the 2015 Class C Girls' state track and field championship,2016-01-06
LR387,Brasch,,"Congratulate the students, faculty, and staff of Bancroft-Rosalie High School on their achievements",2016-01-06
LR388,Brasch,,Extend sympathy to the family of Joseph G. Lemm and recognize his service to his community and country,2016-01-06
LB773,Stinner,Indefinitely postponed,Create the Early Childhood Workforce Development Task Force,2016-01-07
LB774,Scheer,Passed,Change revenue and taxation provisions,2016-01-07
LB775,Gloor,Passed,Change property tax provisions relating to motor vehicles,2016-01-07
LB776,Gloor,Passed,Change revenue and taxation provisions,2016-01-07
LB777,Gloor,Indefinitely postponed,Change provisions relating to partial payments for property taxes held in escrow,2016-01-07
LB778,Williams,Passed,Change provisions relating to the Nebraska Money Transmitters Act and the Nebraska Installment Sales Act,2016-01-07
LB779,Schumacher,Indefinitely postponed,Change provisions relating to the partisan status of certain political subdivision offices,2016-01-07
LB780,Schumacher,Indefinitely postponed,Change provisions relating to emergency protective custody,2016-01-07
LB781,Schumacher,Indefinitely postponed,Require school districts to prepare for closure of nonpublic schools,2016-01-07
LB782,Schumacher,Indefinitely postponed,Provide for a medicaid state plan amendment relating to coverage for family planning services,2016-01-07
LB783,Lindstrom,Passed,Provide for registration of public power district vehicles as prescribed,2016-01-07
LB784,Friesen,Passed,Change provisions relating to deficit expenditures by county boards,2016-01-07
LB785,Friesen,Indefinitely postponed,Change provisions relating to the Motor Vehicle Operator's License Act,2016-01-07
LB786,Larson,Passed,Change requirements for completion of death certificates and cremation permits,2016-01-07
LB787,Morfeld,Indefinitely postponed,Allow a voter to photograph and reveal a marked ballot,2016-01-07
LB788,Cook,Indefinitely postponed,Change and eliminate provisions relating to the Professional Landscape Architects Act,2016-01-07
LB789,Cook,Indefinitely postponed,Change provisions regarding appropriations for the installation of art in public buildings,2016-01-07
LB790,Kolterman,Passed,To alphabetize defined terms under various retirement statutes,2016-01-07
LB791,Ebke,Indefinitely postponed,Change grounds for discipline under the Funeral Directing and Embalming Act,2016-01-07
LB792,Kuehn,Indefinitely postponed,Prohibit certain former officeholders and public employees from being lobbyists,2016-01-07
LB793,Watermeier,Indefinitely postponed,Change provisions and penalties relating to implements for escape and contraband and certain assaults,2016-01-07
LB794,Harr,Passed,Change provisions relating to the Nebraska Model Business Corporation Act and corporate occupation taxes,2016-01-07
LB795,Harr,Indefinitely postponed,Establish the Wireless in Nebraska Program under the Nebraska Telecommunications Universal Service Fund Act,2016-01-07
LB796,Harr,Indefinitely postponed,Prohibit alterations to liability insurance coverage for claims under the Minor Alcoholic Liquor Liability Act,2016-01-07
LB797,Harr,Indefinitely postponed,Change provisions relating to the accrual of interest on denied and reduced homestead exemptions,2016-01-07
LB798,Johnson,Passed,Change provisions of the Nebraska Pure Food Act,2016-01-07
LB799,Bolz,Indefinitely postponed,Include capital acquisition costs in the Nebraska Public Transportation Act's assistance program,2016-01-07
LB800,Bolz,Indefinitely postponed,State intent relating to an appropriation to the State Department of Education for job-driven training and education,2016-01-07
LB801,Bolz,Indefinitely postponed,Require educational material and a report relating to long-term care insurance,2016-01-07
LB802,Haar,Indefinitely postponed,Create the Health and Climate Resiliency Task Force,2016-01-07
LB803,Nebraska Retirement Systems Committee,Passed,Change disposition of court docket fees as prescribed,2016-01-07
LB804,Hilkemann,Indefinitely postponed,Adopt the Investigational Drug Use Act,2016-01-07
LB805,Mello,Indefinitely postponed,Require a periodic study of certain retirement plans and a report filing by certain political subdivisions,2016-01-07
LB806,Mello,Indefinitely postponed,Adopt the Riverfront Development District Act,2016-01-07
LB807,Williams,Passed,Allow counties of all sizes to waive quarterly reports by county attorneys,2016-01-07
LB808,Hansen,Indefinitely postponed,Change provisions relating to amending an economic development program under the Local Option Municipal Economic Development Act,2016-01-07
LB809,Davis,Indefinitely postponed,Appropriate funds to the Property Tax Credit Cash Fund,2016-01-07
LB810,Davis,Indefinitely postponed,Eliminate the Nebraska Youth Conservation Program and transfer funds to the Cowboy Trail Fund,2016-01-07
LB811,Brasch,Passed,Change provisions relating to counties' use of alphanumeric and county number system license plates,2016-01-07
LB812,Smith,Indefinitely postponed,Provide a sales tax exemption relating to custom software,2016-01-07
LR389CA,Harr,Indefinitely postponed,Constitutional amendment to remove provisions regarding marriage from the Constitution of Nebraska,2016-01-07
LR390CA,Davis,Indefinitely postponed,Constitutional amendment requiring community colleges funding by sales and income taxes and not property taxes,2016-01-07
LR391,Brasch,,Congratulate the Guardian Angels Central Catholic High School volleyball team for winning third place in the 2015 Class C-2 state championship,2016-01-07
LR392,Brasch,,Congratulate the Oakland-Craig High School football team for winning second place in the 2015 Class C-2 state championship,2016-01-07
LB813,Kolterman,Passed,Permit certain persons to consent to donate plasma,2016-01-08
LB814,Friesen,Passed,Change a requirement for issuance of a school permit,2016-01-08
LB815,Stinner,Indefinitely postponed,Change provisions relating to petitions for removal of a person's firearms-related disabilities or disqualifications,2016-01-08
